www.google.com,1.3012820854783058e-06,13
www.facebook.com,1.0267565958201886e-06,19
fudan.edu.cn,0.00023713873606175185,38
marmara.edu.tr,0.00013287717709317803,21
www.latimes.com,1.0266019962728023e-06,20
www.princeton.edu,9.259297512471676e-07,15
home.dartmouth.edu,1.0701268911361694e-06,9
www.cornell.edu,Timeout,Timeout
www.umich.edu,2.5040836073458195e-05,18
www.northeastern.edu,1.2203538790345192e-06,13
www.wisc.edu,1.0566147975623608e-06,14
www.cmu.edu,1.4461532700806856e-05,22
